apiKey=API_VERSIONS, apiVersion=0, clientId=DemoKafkaOnPulsarProducer, correlationId=-1)
apiKey=SASL_HANDSHAKE, apiVersion=1, clientId=DemoKafkaOnPulsarProducer, correlationId=0)
apiKey=SASL_AUTHENTICATE, apiVersion=0, clientId=DemoKafkaOnPulsarProducer, correlationId=1)
apiKey=API_VERSIONS, apiVersion=2, clientId=DemoKafkaOnPulsarProducer, correlationId=0)
apiKey=METADATA, apiVersion=6, clientId=DemoKafkaOnPulsarProducer, correlationId=1)
apiKey=API_VERSIONS, apiVersion=0, clientId=DemoKafkaOnPulsarProducer, correlationId=-1)
apiKey=SASL_HANDSHAKE, apiVersion=1, clientId=DemoKafkaOnPulsarProducer, correlationId=0)
apiKey=SASL_AUTHENTICATE, apiVersion=0, clientId=DemoKafkaOnPulsarProducer, correlationId=1)
apiKey=API_VERSIONS, apiVersion=2, clientId=DemoKafkaOnPulsarProducer, correlationId=2)
apiKey=PRODUCE, apiVersion=6, clientId=DemoKafkaOnPulsarProducer, correlationId=3)
apiKey=PRODUCE, apiVersion=6, clientId=DemoKafkaOnPulsarProducer, correlationId=4)
apiKey=PRODUCE, apiVersion=6, clientId=DemoKafkaOnPulsarProducer, correlationId=5)
apiKey=PRODUCE, apiVersion=6, clientId=DemoKafkaOnPulsarProducer, correlationId=6)
apiKey=PRODUCE, apiVersion=6, clientId=DemoKafkaOnPulsarProducer, correlationId=7)
apiKey=PRODUCE, apiVersion=6, clientId=DemoKafkaOnPulsarProducer, correlationId=8)
apiKey=PRODUCE, apiVersion=6, clientId=DemoKafkaOnPulsarProducer, correlationId=9)
apiKey=PRODUCE, apiVersion=6, clientId=DemoKafkaOnPulsarProducer, correlationId=10)
apiKey=PRODUCE, apiVersion=6, clientId=DemoKafkaOnPulsarProducer, correlationId=11)
apiKey=PRODUCE, apiVersion=6, clientId=DemoKafkaOnPulsarProducer, correlationId=12)


apiKey=API_VERSIONS, apiVersion=0, clientId=, correlationId=-1)
apiKey=SASL_HANDSHAKE, apiVersion=1, clientId=, correlationId=0)
apiKey=SASL_AUTHENTICATE, apiVersion=0, clientId=, correlationId=1)
apiKey=API_VERSIONS, apiVersion=2, clientId=consumer-1, correlationId=1)
apiKey=METADATA, apiVersion=6, clientId=consumer-1, correlationId=2)
apiKey=FIND_COORDINATOR, apiVersion=2, clientId=consumer-1, correlationId=0)
apiKey=API_VERSIONS, apiVersion=0, clientId=, correlationId=-1)
apiKey=SASL_HANDSHAKE, apiVersion=1, clientId=, correlationId=0)
apiKey=SASL_AUTHENTICATE, apiVersion=0, clientId=, correlationId=1)
apiKey=API_VERSIONS, apiVersion=2, clientId=consumer-1, correlationId=4)
apiKey=JOIN_GROUP, apiVersion=3, clientId=consumer-1, correlationId=3)
apiKey=SYNC_GROUP, apiVersion=2, clientId=consumer-1, correlationId=5)
apiKey=OFFSET_FETCH, apiVersion=4, clientId=consumer-1, correlationId=6)
apiKey=API_VERSIONS, apiVersion=0, clientId=, correlationId=-1)
apiKey=SASL_HANDSHAKE, apiVersion=1, clientId=, correlationId=0)
apiKey=SASL_AUTHENTICATE, apiVersion=0, clientId=, correlationId=1)
apiKey=API_VERSIONS, apiVersion=2, clientId=consumer-1, correlationId=8)
apiKey=LIST_OFFSETS, apiVersion=3, clientId=consumer-1, correlationId=7)
apiKey=FETCH, apiVersion=8, clientId=consumer-1, correlationId=9)
apiKey=FETCH, apiVersion=8, clientId=consumer-1, correlationId=10)
apiKey=FETCH, apiVersion=8, clientId=consumer-1, correlationId=11)
apiKey=FETCH, apiVersion=8, clientId=consumer-1, correlationId=12)
apiKey=FETCH, apiVersion=8, clientId=consumer-1, correlationId=13)
apiKey=FETCH, apiVersion=8, clientId=consumer-1, correlationId=14)
apiKey=FETCH, apiVersion=8, clientId=consumer-1, correlationId=15)
apiKey=FETCH, apiVersion=8, clientId=consumer-1, correlationId=16)
apiKey=FETCH, apiVersion=8, clientId=consumer-1, correlationId=17)
apiKey=FETCH, apiVersion=8, clientId=consumer-1, correlationId=18)
apiKey=FETCH, apiVersion=8, clientId=consumer-1, correlationId=19)
apiKey=METADATA, apiVersion=6, clientId=consumer-1, correlationId=20)
